Block Type,96-Well 0.1-mL Block,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Background is expired ,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Background performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ABY is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ABY performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye FAM is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye FAM performed on,09-19-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye JUN is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye JUN performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye NED is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye NED performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ROX is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ROX performed on,09-19-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye SYBR is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye SYBR performed on,09-19-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye TAMRA is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye TAMRA performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye VIC is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye VIC performed on,09-19-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration ROI is expired ,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration ROI performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Uniformity is expired ,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Uniformity performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date Created,2021-01-21 14:47:33 PM PST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Barcode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Comment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Users\INSTR-ADMIN\experiments\Dani\CBASS\CBASS_plate1.eds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Name,CBASS_plate1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2021-01-14 12:23:21 PM PST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Type,Standard Curve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Name,      172310454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Serial Number,172310454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Type,QuantStudio™ 3 System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Post-read Stage/Step,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pre-read Stage/Step,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quantification Cycle Method,Ct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Signal Smoothing On,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stage where Melt Analysis is performed,Stage3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stage/ Cycle where Ct Analysis is performed,"Stage2, Step2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Well,Well Position,Omit,Sample Name,Target Name,Task,Reporter,Quencher,CT,Ct Mean,Ct SD,Quantity,Quantity Mean,Quantity SD,Y-Intercept,R(superscript 2),Slope,Efficiency,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Amp Status,Comments,Cq Conf,CQCONF,HIGHSD,MTP,Tm1,Tm2,Tm3,Tm4
1,A1,FALSE,NTC,Acerv,NTC,SYBR,None,Undetermined,,,,,,,,,,TRUE,0.308,TRUE,3,12,No Amp,,0.000,N,N,N,60.000,,,
2,A2,FALSE,NTC,A,NTC,SYBR,None,Undetermined,,,,,,,,,,TRUE,0.161,TRUE,3,35,No Amp,,0.000,N,N,Y,77.390,81.075,,
3,A3,FALSE,Sample 1,Acerv,UNKNOWN,SYBR,None,24.768,24.805,0.053,,,,,,,,TRUE,0.308,TRUE,3,19,Amp,,0.983,N,N,N,74.001,,,
4,A4,FALSE,Sample 1,A,UNKNOWN,SYBR,None,22.525,22.539,0.020,,,,,,,,TRUE,0.161,TRUE,3,17,Amp,,0.955,N,N,N,85.791,,,
5,A5,FALSE,Sample 1,Acerv,UNKNOWN,SYBR,None,24.842,24.805,0.053,,,,,,,,TRUE,0.308,TRUE,3,19,Amp,,0.981,N,N,N,74.001,,,
6,A6,FALSE,Sample 1,A,UNKNOWN,SYBR,None,22.552,22.539,0.020,,,,,,,,TRUE,0.161,TRUE,3,18,Amp,,0.942,N,N,N,85.496,,,
7,A7,FALSE,Sample 2,Acerv,UNKNOWN,SYBR,None,24.980,25.202,0.313,,,,,,,,TRUE,0.308,TRUE,3,19,Amp,,0.993,N,N,N,74.001,,,
8,A8,FALSE,Sample 2,A,UNKNOWN,SYBR,None,22.678,22.689,0.015,,,,,,,,TRUE,0.161,TRUE,3,18,Amp,,0.938,N,N,N,85.643,,,
9,A9,FALSE,Sample 2,Acerv,UNKNOWN,SYBR,None,25.423,25.202,0.313,,,,,,,,TRUE,0.308,TRUE,3,19,Amp,,0.988,N,N,N,74.148,,,
10,A10,FALSE,Sample 2,A,UNKNOWN,SYBR,None,22.700,22.689,0.015,,,,,,,,TRUE,0.161,TRUE,3,18,Amp,,0.970,N,N,N,85.643,,,
11,A11,FALSE,+,Acerv,UNKNOWN,SYBR,None,8.803,8.703,0.142,,,,,,,,TRUE,0.308,TRUE,3,5,Amp,,0.971,N,N,N,74.295,,,
12,A12,FALSE,+,A,UNKNOWN,SYBR,None,8.300,8.341,0.058,,,,,,,,TRUE,0.161,TRUE,3,5,Amp,,0.564,Y,N,N,85.643,,,
13,B1,FALSE,Sample 3,Acerv,UNKNOWN,SYBR,None,25.290,25.112,0.251,,,,,,,,TRUE,0.308,TRUE,3,20,Amp,,0.984,N,N,N,73.853,,,
14,B2,FALSE,Sample 3,A,UNKNOWN,SYBR,None,22.229,22.291,0.088,,,,,,,,TRUE,0.161,TRUE,3,17,Amp,,0.929,N,N,N,85.496,,,
15,B3,FALSE,Sample 3,Acerv,UNKNOWN,SYBR,None,24.934,25.112,0.251,,,,,,,,TRUE,0.308,TRUE,3,19,Amp,,0.996,N,N,N,74.148,,,
16,B4,FALSE,Sample 3,A,UNKNOWN,SYBR,None,22.353,22.291,0.088,,,,,,,,TRUE,0.161,TRUE,3,17,Amp,,0.947,N,N,N,85.791,,,
17,B5,FALSE,Sample 4,Acerv,UNKNOWN,SYBR,None,25.987,25.961,0.037,,,,,,,,TRUE,0.308,TRUE,3,20,Amp,,0.986,N,N,N,74.001,,,
18,B6,FALSE,Sample 4,A,UNKNOWN,SYBR,None,22.151,22.028,0.173,,,,,,,,TRUE,0.161,TRUE,3,17,Amp,,0.917,N,N,N,85.496,,,
19,B7,FALSE,Sample 4,Acerv,UNKNOWN,SYBR,None,25.934,25.961,0.037,,,,,,,,TRUE,0.308,TRUE,3,20,Amp,,0.990,N,N,N,74.001,,,
20,B8,FALSE,Sample 4,A,UNKNOWN,SYBR,None,21.906,22.028,0.173,,,,,,,,TRUE,0.161,TRUE,3,17,Amp,,0.936,N,N,N,85.643,,,
21,B9,FALSE,Sample 5,Acerv,UNKNOWN,SYBR,None,24.961,25.006,0.064,,,,,,,,TRUE,0.308,TRUE,3,19,Amp,,0.990,N,N,N,74.148,,,
22,B10,FALSE,Sample 5,A,UNKNOWN,SYBR,None,23.551,23.484,0.096,,,,,,,,TRUE,0.161,TRUE,3,19,Amp,,0.989,N,N,N,85.496,,,
