Block Type,96-Well 0.1-mL Block,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Background is expired ,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Background performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ABY is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ABY performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye FAM is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye FAM performed on,09-19-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye JUN is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye JUN performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye NED is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye NED performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ROX is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ROX performed on,09-19-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye SYBR is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye SYBR performed on,09-19-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye TAMRA is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye TAMRA performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye VIC is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye VIC performed on,09-19-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration ROI is expired ,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration ROI performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Uniformity is expired ,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Uniformity performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date Created,2021-01-21 14:52:49 PM PST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Barcode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Comment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Users\INSTR-ADMIN\experiments\Dani\CBASS\DK_CBASS_plate3.eds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Name,DK_CBASS Plate 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2021-01-20 10:00:24 AM PST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Type,Standard Curve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Name,      172310454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Serial Number,172310454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Type,QuantStudio™ 3 System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Post-read Stage/Step,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pre-read Stage/Step,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quantification Cycle Method,Ct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Signal Smoothing On,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stage where Melt Analysis is performed,Stage3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stage/ Cycle where Ct Analysis is performed,"Stage2, Step2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Well,Well Position,Omit,Sample Name,Target Name,Task,Reporter,Quencher,CT,Ct Mean,Ct SD,Quantity,Quantity Mean,Quantity SD,Y-Intercept,R(superscript 2),Slope,Efficiency,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Amp Status,Comments,Cq Conf,CQCONF,MTP,AMPNC,HIGHSD,Tm1,Tm2,Tm3,Tm4
1,A1,FALSE,NTC,Acerv,NTC,SYBR,None,Undetermined,,,,,,,,,,TRUE,0.293,TRUE,3,39,No Amp,,0.000,N,N,N,N,60.001,,,
2,A2,FALSE,NTC,A,NTC,SYBR,None,32.698,,,,,,,,,,TRUE,0.195,TRUE,3,28,Amp,,0.989,N,N,Y,N,74.290,,,
3,A3,FALSE,45,Acerv,UNKNOWN,SYBR,None,22.872,22.920,0.068,,,,,,,,TRUE,0.293,TRUE,3,18,Amp,,0.976,N,N,N,N,74.142,,,
4,A4,FALSE,45,A,UNKNOWN,SYBR,None,25.147,25.157,0.015,,,,,,,,TRUE,0.195,TRUE,3,20,Amp,,0.980,N,N,N,N,85.632,,,
5,A5,FALSE,45,Acerv,UNKNOWN,SYBR,None,22.968,22.920,0.068,,,,,,,,TRUE,0.293,TRUE,3,18,Amp,,0.968,N,N,N,N,73.848,,,
6,A6,FALSE,45,A,UNKNOWN,SYBR,None,25.168,25.157,0.015,,,,,,,,TRUE,0.195,TRUE,3,21,Amp,,0.975,N,Y,N,N,85.337,73.848,,
7,A7,FALSE,46,Acerv,UNKNOWN,SYBR,None,23.249,23.610,0.510,,,,,,,,TRUE,0.293,TRUE,3,18,Amp,,0.979,N,N,N,Y,73.848,,,
8,A8,FALSE,46,A,UNKNOWN,SYBR,None,26.009,26.097,0.123,,,,,,,,TRUE,0.195,TRUE,3,21,Amp,,0.983,N,N,N,N,85.485,,,
9,A9,FALSE,46,Acerv,UNKNOWN,SYBR,None,23.970,23.610,0.510,,,,,,,,TRUE,0.293,TRUE,3,17,Amp,,0.976,N,N,N,Y,74.142,,,
10,A10,FALSE,46,A,UNKNOWN,SYBR,None,26.184,26.097,0.123,,,,,,,,TRUE,0.195,TRUE,3,20,Amp,,0.973,N,N,N,N,85.632,,,
11,A11,FALSE,+,Acerv,UNKNOWN,SYBR,None,8.558,8.611,0.075,,,,,,,,TRUE,0.293,TRUE,3,4,Amp,,0.975,N,N,N,N,74.142,,,
12,A12,FALSE,+,A,UNKNOWN,SYBR,None,9.032,8.908,0.174,,,,,,,,TRUE,0.195,TRUE,3,5,Amp,,0.639,Y,N,N,N,85.190,,,
13,B1,FALSE,47,Acerv,UNKNOWN,SYBR,None,23.350,23.340,0.015,,,,,,,,TRUE,0.293,TRUE,3,18,Amp,,0.975,N,N,N,N,73.700,,,
14,B2,FALSE,47,A,UNKNOWN,SYBR,None,26.232,26.484,0.356,,,,,,,,TRUE,0.195,TRUE,3,21,Amp,,0.977,N,N,N,N,85.190,,,
15,B3,FALSE,47,Acerv,UNKNOWN,SYBR,None,23.330,23.340,0.015,,,,,,,,TRUE,0.293,TRUE,3,18,Amp,,0.982,N,N,N,N,74.142,,,
16,B4,FALSE,47,A,UNKNOWN,SYBR,None,26.735,26.484,0.356,,,,,,,,TRUE,0.195,TRUE,3,22,Amp,,0.981,N,N,N,N,85.632,,,
17,B5,FALSE,48,Acerv,UNKNOWN,SYBR,None,22.493,22.522,0.042,,,,,,,,TRUE,0.293,TRUE,3,16,Amp,,0.978,N,N,N,N,73.848,,,
18,B6,FALSE,48,A,UNKNOWN,SYBR,None,25.767,25.688,0.112,,,,,,,,TRUE,0.195,TRUE,3,21,Amp,,0.963,N,N,N,N,85.485,,,
19,B7,FALSE,48,Acerv,UNKNOWN,SYBR,None,22.552,22.522,0.042,,,,,,,,TRUE,0.293,TRUE,3,16,Amp,,0.974,N,N,N,N,73.700,,,
20,B8,FALSE,48,A,UNKNOWN,SYBR,None,25.610,25.688,0.112,,,,,,,,TRUE,0.195,TRUE,3,20,Amp,,0.974,N,Y,N,N,85.632,83.275,76.941,
21,B9,FALSE,49,Acerv,UNKNOWN,SYBR,None,22.696,22.554,0.200,,,,,,,,TRUE,0.293,TRUE,3,17,Amp,,0.983,N,N,N,N,74.142,,,
22,B10,FALSE,49,A,UNKNOWN,SYBR,None,25.691,25.996,0.431,,,,,,,,TRUE,0.195,TRUE,3,21,Amp,,0.971,N,Y,N,N,85.632,83.422,,
