Block Type,96-Well 0.1-mL Block,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Background is expired ,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Background performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ABY is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ABY performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye FAM is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye FAM performed on,09-19-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye JUN is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye JUN performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye NED is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye NED performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ROX is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ROX performed on,09-19-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye SYBR is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye SYBR performed on,09-19-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye TAMRA is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye TAMRA performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye VIC is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye VIC performed on,09-19-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration ROI is expired ,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration ROI performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Uniformity is expired ,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Uniformity performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date Created,2021-03-30 16:41:57 PM PDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Barcode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Comment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,E:\DK\DK_T0_p1_NEWSYBR.eds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Name,DK_T0_p1_NEWSYBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2021-03-30 10:56:11 AM PDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Type,Standard Curve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Name,      172310454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Serial Number,172310454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Type,QuantStudio™ 3 System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Post-read Stage/Step,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pre-read Stage/Step,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quantification Cycle Method,Ct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Signal Smoothing On,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stage where Melt Analysis is performed,Stage3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stage/ Cycle where Ct Analysis is performed,"Stage2, Step2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Well,Well Position,Omit,Sample Name,Target Name,Task,Reporter,Quencher,CT,Ct Mean,Ct SD,Quantity,Quantity Mean,Quantity SD,Y-Intercept,R(superscript 2),Slope,Efficiency,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Amp Status,Comments,Cq Conf,MTP,HIGHSD,Tm1,Tm2,Tm3,Tm4
1,A1,FALSE,NTC,Acerv,NTC,SYBR,None,Undetermined,,,,,,,,,,TRUE,0.182,TRUE,3,39,No Amp,,0.000,N,N,60.001,,,
2,A2,FALSE,NTC,A,NTC,SYBR,None,Undetermined,,,,,,,,,,TRUE,0.449,TRUE,3,25,No Amp,,0.000,Y,N,90.939,83.425,74.881,87.550
3,A3,FALSE,A189,Acerv,UNKNOWN,SYBR,None,26.595,26.547,0.068,,,,,,,,TRUE,0.182,TRUE,3,21,Amp,,0.973,N,N,75.455,,,
4,A4,FALSE,A189,A,UNKNOWN,SYBR,None,25.575,25.568,0.009,,,,,,,,TRUE,0.449,TRUE,3,19,Amp,,0.977,N,N,88.113,,,
5,A5,FALSE,A189,Acerv,UNKNOWN,SYBR,None,26.499,26.547,0.068,,,,,,,,TRUE,0.182,TRUE,3,22,Amp,,0.993,N,N,75.304,,,
6,A6,FALSE,A189,A,UNKNOWN,SYBR,None,25.562,25.568,0.009,,,,,,,,TRUE,0.449,TRUE,3,19,Amp,,0.973,N,N,87.811,,,
7,A7,FALSE,A183,Acerv,UNKNOWN,SYBR,None,25.924,26.353,0.607,,,,,,,,TRUE,0.182,TRUE,3,21,Amp,,0.990,N,Y,75.163,,,
8,A8,FALSE,A183,A,UNKNOWN,SYBR,None,26.091,26.087,0.006,,,,,,,,TRUE,0.449,TRUE,3,19,Amp,,0.977,N,N,87.823,,,
9,A9,FALSE,A183,Acerv,UNKNOWN,SYBR,None,26.782,26.353,0.607,,,,,,,,TRUE,0.182,TRUE,3,21,Amp,,0.936,N,Y,75.476,,,
10,A10,FALSE,A183,A,UNKNOWN,SYBR,None,26.083,26.087,0.006,,,,,,,,TRUE,0.449,TRUE,3,20,Amp,,0.978,N,N,88.004,,,
11,A11,FALSE,+,Acerv,UNKNOWN,SYBR,None,18.416,22.940,6.398,,,,,,,,TRUE,0.182,TRUE,3,13,Amp,,0.969,N,Y,75.469,,,
12,A12,FALSE,+,A,UNKNOWN,SYBR,None,14.431,14.345,0.121,,,,,,,,TRUE,0.449,TRUE,3,9,Amp,,0.963,N,N,87.845,,,
13,B1,FALSE,A184,Acerv,UNKNOWN,SYBR,None,24.892,24.852,0.057,,,,,,,,TRUE,0.182,TRUE,3,20,Amp,,0.971,N,N,75.323,,,
14,B2,FALSE,A184,A,UNKNOWN,SYBR,None,25.195,25.143,0.074,,,,,,,,TRUE,0.449,TRUE,3,19,Amp,,0.970,N,N,87.697,,,
15,B3,FALSE,A184,Acerv,UNKNOWN,SYBR,None,24.812,24.852,0.057,,,,,,,,TRUE,0.182,TRUE,3,20,Amp,,0.969,N,N,75.455,,,
16,B4,FALSE,A184,A,UNKNOWN,SYBR,None,25.091,25.143,0.074,,,,,,,,TRUE,0.449,TRUE,3,18,Amp,,0.968,N,N,87.966,,,
17,B5,FALSE,A185,Acerv,UNKNOWN,SYBR,None,24.931,24.832,0.140,,,,,,,,TRUE,0.182,TRUE,3,20,Amp,,0.965,N,N,75.304,,,
18,B6,FALSE,A185,A,UNKNOWN,SYBR,None,25.585,25.594,0.011,,,,,,,,TRUE,0.449,TRUE,3,19,Amp,,0.969,N,N,87.811,,,
19,B7,FALSE,A185,Acerv,UNKNOWN,SYBR,None,24.733,24.832,0.140,,,,,,,,TRUE,0.182,TRUE,3,20,Amp,,0.992,N,N,75.163,,,
20,B8,FALSE,A185,A,UNKNOWN,SYBR,None,25.602,25.594,0.011,,,,,,,,TRUE,0.449,TRUE,3,19,Amp,,0.975,N,N,87.823,,,
21,B9,FALSE,A186,Acerv,UNKNOWN,SYBR,None,24.831,24.830,0.001,,,,,,,,TRUE,0.182,TRUE,3,20,Amp,,0.968,N,N,75.476,,,
22,B10,FALSE,A186,A,UNKNOWN,SYBR,None,26.191,26.133,0.082,,,,,,,,TRUE,0.449,TRUE,3,20,Amp,,0.968,N,N,88.004,,,
23,B11,FALSE,A186,Acerv,UNKNOWN,SYBR,None,24.829,24.830,0.001,,,,,,,,TRUE,0.182,TRUE,3,20,Amp,,0.976,N,N,75.322,,,
24,B12,FALSE,A186,A,UNKNOWN,SYBR,None,26.075,26.133,0.082,,,,,,,,TRUE,0.449,TRUE,3,19,Amp,,0.973,N,N,87.845,,,
