Block Type,96-Well 0.1-mL Block,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Background is expired ,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Background performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ABY is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ABY performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye FAM is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye FAM performed on,09-19-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye JUN is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye JUN performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye NED is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye NED performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ROX is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ROX performed on,09-19-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye SYBR is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye SYBR performed on,09-19-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye TAMRA is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye TAMRA performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye VIC is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye VIC performed on,09-19-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration ROI is expired ,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration ROI performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Uniformity is expired ,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Uniformity performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date Created,2021-04-02 15:23:27 PM PDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Barcode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Comment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,E:\DK_T1_Anas_samples_p4.eds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Name,DK_T1_Anas_samples_p4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2021-04-02 12:17:19 PM PDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Type,Standard Curve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Name,      172310454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Serial Number,172310454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Type,QuantStudio™ 3 System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Post-read Stage/Step,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pre-read Stage/Step,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quantification Cycle Method,Ct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Signal Smoothing On,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stage where Melt Analysis is performed,Stage3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stage/ Cycle where Ct Analysis is performed,"Stage2, Step2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Well,Well Position,Omit,Sample Name,Target Name,Task,Reporter,Quencher,CT,Ct Mean,Ct SD,Quantity,Quantity Mean,Quantity SD,Y-Intercept,R(superscript 2),Slope,Efficiency,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Amp Status,Comments,Cq Conf,CQCONF,MTP,HIGHSD,Tm1,Tm2,Tm3,Tm4
1,A1,FALSE,NTC,Acerv,NTC,SYBR,None,Undetermined,,,,,,,,,,TRUE,0.063,TRUE,3,39,No Amp,,0.000,N,N,N,60.000,,,
2,A2,FALSE,NTC,A,NTC,SYBR,None,Undetermined,,,,,,,,,,TRUE,0.130,TRUE,3,39,No Amp,,0.000,N,N,N,60.000,,,
3,A3,FALSE,G6,Acerv,UNKNOWN,SYBR,None,15.721,16.064,0.485,,,,,,,,TRUE,0.063,TRUE,3,12,Amp,,0.979,N,N,N,75.445,,,
4,A4,FALSE,G6,A,UNKNOWN,SYBR,None,17.081,16.945,0.192,,,,,,,,TRUE,0.130,TRUE,3,12,Amp,,0.993,N,N,N,88.095,,,
5,A5,FALSE,G6,Acerv,UNKNOWN,SYBR,None,16.407,16.064,0.485,,,,,,,,TRUE,0.063,TRUE,3,13,Amp,,0.967,N,N,N,75.441,,,
6,A6,FALSE,G6,A,UNKNOWN,SYBR,None,16.809,16.945,0.192,,,,,,,,TRUE,0.130,TRUE,3,12,Amp,,0.985,N,N,N,87.793,,,
7,A7,FALSE,H6,Acerv,UNKNOWN,SYBR,None,17.003,17.356,0.500,,,,,,,,TRUE,0.063,TRUE,3,14,Amp,,0.955,N,N,Y,75.304,,,
8,A8,FALSE,H6,A,UNKNOWN,SYBR,None,17.400,17.420,0.028,,,,,,,,TRUE,0.130,TRUE,3,13,Amp,,0.948,N,N,N,87.813,,,
9,A9,FALSE,H6,Acerv,UNKNOWN,SYBR,None,17.710,17.356,0.500,,,,,,,,TRUE,0.063,TRUE,3,15,Amp,,0.929,N,N,Y,75.768,,,
10,A10,FALSE,H6,A,UNKNOWN,SYBR,None,17.440,17.420,0.028,,,,,,,,TRUE,0.130,TRUE,3,13,Amp,,0.978,N,N,N,88.000,,,
11,A11,FALSE,+,Acerv,UNKNOWN,SYBR,None,24.564,24.760,0.278,,,,,,,,TRUE,0.063,TRUE,3,21,Amp,,0.977,N,N,N,75.317,,,
12,A12,FALSE,+,A,UNKNOWN,SYBR,None,12.711,12.687,0.033,,,,,,,,TRUE,0.130,TRUE,3,8,Amp,,0.974,N,N,N,87.837,,,
13,B1,FALSE,E7,Acerv,UNKNOWN,SYBR,None,16.513,16.642,0.183,,,,,,,,TRUE,0.063,TRUE,3,13,Amp,,0.927,N,N,N,75.316,,,
14,B2,FALSE,E7,A,UNKNOWN,SYBR,None,17.345,17.271,0.104,,,,,,,,TRUE,0.130,TRUE,3,13,Amp,,0.943,N,N,N,87.686,,,
15,B3,FALSE,E7,Acerv,UNKNOWN,SYBR,None,16.772,16.642,0.183,,,,,,,,TRUE,0.063,TRUE,3,14,Amp,,0.905,N,N,N,75.592,,,
16,B4,FALSE,E7,A,UNKNOWN,SYBR,None,17.198,17.271,0.104,,,,,,,,TRUE,0.130,TRUE,3,12,Amp,,0.977,N,N,N,87.948,,,
17,B5,FALSE,F7,Acerv,UNKNOWN,SYBR,None,16.547,16.559,0.017,,,,,,,,TRUE,0.063,TRUE,3,13,Amp,,0.915,N,N,N,75.293,,,
18,B6,FALSE,F7,A,UNKNOWN,SYBR,None,17.339,17.379,0.057,,,,,,,,TRUE,0.130,TRUE,3,13,Amp,,0.981,N,N,N,87.646,,,
19,B7,FALSE,F7,Acerv,UNKNOWN,SYBR,None,16.571,16.559,0.017,,,,,,,,TRUE,0.063,TRUE,3,13,Amp,,0.935,N,N,N,75.452,,,
20,B8,FALSE,F7,A,UNKNOWN,SYBR,None,17.420,17.379,0.057,,,,,,,,TRUE,0.130,TRUE,3,13,Amp,,0.897,N,N,N,87.813,,,
21,B9,FALSE,G7,Acerv,UNKNOWN,SYBR,None,16.410,16.408,0.003,,,,,,,,TRUE,0.063,TRUE,3,13,Amp,,0.858,N,N,N,75.621,,,
22,B10,FALSE,G7,A,UNKNOWN,SYBR,None,17.123,17.146,0.032,,,,,,,,TRUE,0.130,TRUE,3,13,Amp,,0.923,N,N,N,87.853,,,
23,B11,FALSE,G7,Acerv,UNKNOWN,SYBR,None,16.405,16.408,0.003,,,,,,,,TRUE,0.063,TRUE,3,13,Amp,,0.927,N,N,N,75.465,,,
