Block Type,96-Well 0.1-mL Block,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Background is expired ,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Background performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ABY is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ABY performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye FAM is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye FAM performed on,09-19-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye JUN is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye JUN performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye NED is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye NED performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ROX is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ROX performed on,09-19-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye SYBR is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye SYBR performed on,09-19-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye TAMRA is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye TAMRA performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye VIC is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye VIC performed on,09-19-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration ROI is expired ,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration ROI performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Uniformity is expired ,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Uniformity performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date Created,2021-01-21 15:19:46 PM PST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Barcode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Comment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,E:\DK_T1_Subsample_1.eds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Name,DK_T1_Subsample_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2021-01-21 11:08:43 AM PST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Type,Standard Curve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Name,      172310454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Serial Number,172310454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Type,QuantStudio™ 3 System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Post-read Stage/Step,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pre-read Stage/Step,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quantification Cycle Method,Ct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Signal Smoothing On,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stage where Melt Analysis is performed,Stage3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stage/ Cycle where Ct Analysis is performed,"Stage2, Step2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Well,Well Position,Omit,Sample Name,Target Name,Task,Reporter,Quencher,CT,Ct Mean,Ct SD,Quantity,Quantity Mean,Quantity SD,Y-Intercept,R(superscript 2),Slope,Efficiency,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Amp Status,Comments,Cq Conf,CQCONF,MTP,AMPNC,HIGHSD,Tm1,Tm2,Tm3,Tm4
1,A1,FALSE,NTC,Acerv,NTC,SYBR,None,33.786,,,,,,,,,,TRUE,0.417,TRUE,3,27,Amp,,0.968,N,N,Y,N,73.857,,,
2,A2,FALSE,NTC,A,NTC,SYBR,None,33.361,,,,,,,,,,TRUE,0.201,TRUE,3,28,Amp,,0.986,N,Y,Y,N,74.299,78.132,,
3,A3,FALSE,1,Acerv,UNKNOWN,SYBR,None,24.478,24.660,0.257,,,,,,,,TRUE,0.417,TRUE,3,17,Amp,,0.971,N,N,N,N,74.152,,,
4,A4,FALSE,1,A,UNKNOWN,SYBR,None,22.730,22.698,0.045,,,,,,,,TRUE,0.201,TRUE,3,17,Amp,,0.976,N,N,N,N,85.944,,,
5,A5,FALSE,1,Acerv,UNKNOWN,SYBR,None,24.842,24.660,0.257,,,,,,,,TRUE,0.417,TRUE,3,19,Amp,,0.980,N,N,N,N,74.005,,,
6,A6,FALSE,1,A,UNKNOWN,SYBR,None,22.667,22.698,0.045,,,,,,,,TRUE,0.201,TRUE,3,18,Amp,,0.974,N,N,N,N,85.649,,,
7,A7,FALSE,9,Acerv,UNKNOWN,SYBR,None,26.169,26.573,0.571,,,,,,,,TRUE,0.417,TRUE,3,20,Amp,,0.982,N,N,N,Y,74.005,,,
8,A8,FALSE,9,A,UNKNOWN,SYBR,None,21.813,21.736,0.110,,,,,,,,TRUE,0.201,TRUE,3,16,Amp,,0.956,N,N,N,N,85.502,,,
9,A9,FALSE,9,Acerv,UNKNOWN,SYBR,None,26.977,26.573,0.571,,,,,,,,TRUE,0.417,TRUE,3,20,Amp,,0.974,N,N,N,Y,74.152,,,
10,A10,FALSE,9,A,UNKNOWN,SYBR,None,21.658,21.736,0.110,,,,,,,,TRUE,0.201,TRUE,3,16,Amp,,0.966,N,N,N,N,85.649,,,
11,A11,FALSE,+,Acerv,UNKNOWN,SYBR,None,9.089,8.894,0.276,,,,,,,,TRUE,0.417,TRUE,3,5,Amp,,0.957,N,N,N,N,74.299,,,
12,A12,FALSE,+,A,UNKNOWN,SYBR,None,8.571,8.335,0.333,,,,,,,,TRUE,0.201,TRUE,3,5,Amp,,0.611,Y,N,N,N,85.502,,,
13,B1,FALSE,13,Acerv,UNKNOWN,SYBR,None,27.892,27.338,0.783,,,,,,,,TRUE,0.417,TRUE,3,21,Amp,,0.993,N,N,N,Y,73.562,,,
14,B2,FALSE,13,A,UNKNOWN,SYBR,None,21.423,21.371,0.073,,,,,,,,TRUE,0.201,TRUE,3,16,Amp,,0.926,N,N,N,N,85.355,,,
15,B3,FALSE,13,Acerv,UNKNOWN,SYBR,None,26.784,27.338,0.783,,,,,,,,TRUE,0.417,TRUE,3,20,Amp,,0.978,N,N,N,Y,74.005,,,
16,B4,FALSE,13,A,UNKNOWN,SYBR,None,21.320,21.371,0.073,,,,,,,,TRUE,0.201,TRUE,3,17,Amp,,0.937,N,N,N,N,85.944,,,
17,B5,FALSE,14,Acerv,UNKNOWN,SYBR,None,25.959,25.693,0.377,,,,,,,,TRUE,0.417,TRUE,3,20,Amp,,0.980,N,N,N,N,74.005,,,
18,B6,FALSE,14,A,UNKNOWN,SYBR,None,21.860,21.815,0.064,,,,,,,,TRUE,0.201,TRUE,3,17,Amp,,0.915,N,N,N,N,85.649,,,
19,B7,FALSE,14,Acerv,UNKNOWN,SYBR,None,25.426,25.693,0.377,,,,,,,,TRUE,0.417,TRUE,3,17,Amp,,0.976,N,N,N,N,74.005,,,
20,B8,FALSE,14,A,UNKNOWN,SYBR,None,21.770,21.815,0.064,,,,,,,,TRUE,0.201,TRUE,3,17,Amp,,0.934,N,N,N,N,85.649,,,
21,B9,FALSE,21,Acerv,UNKNOWN,SYBR,None,25.460,25.611,0.214,,,,,,,,TRUE,0.417,TRUE,3,19,Amp,,0.981,N,N,N,N,74.152,,,
22,B10,FALSE,21,A,UNKNOWN,SYBR,None,21.488,21.473,0.021,,,,,,,,TRUE,0.201,TRUE,3,17,Amp,,0.958,N,N,N,N,85.649,,,
