Block Type,96-Well 0.1-mL Block,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Background is expired ,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Background performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ABY is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ABY performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye FAM is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye FAM performed on,09-19-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye JUN is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye JUN performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye NED is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye NED performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ROX is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ROX performed on,09-19-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye SYBR is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye SYBR performed on,09-19-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye TAMRA is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye TAMRA performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye VIC is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye VIC performed on,09-19-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration ROI is expired ,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration ROI performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Uniformity is expired ,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Uniformity performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date Created,2021-03-09 13:52:56 PM PST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Barcode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Comment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Users\INSTR-ADMIN\experiments\Dani\DK_T1_Subsample_andT0_rextract_plate1.eds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Name,DK_T1_Subsample_1_rectract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2021-03-09 10:39:42 AM PST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Type,Standard Curve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Name,      172310454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Serial Number,172310454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Type,QuantStudio™ 3 System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Post-read Stage/Step,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pre-read Stage/Step,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quantification Cycle Method,Ct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Signal Smoothing On,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stage where Melt Analysis is performed,Stage3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stage/ Cycle where Ct Analysis is performed,"Stage2, Step2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Well,Well Position,Omit,Sample Name,Target Name,Task,Reporter,Quencher,CT,Ct Mean,Ct SD,Quantity,Quantity Mean,Quantity SD,Y-Intercept,R(superscript 2),Slope,Efficiency,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Amp Status,Comments,Cq Conf,CQCONF,AMPNC,HIGHSD,MTP,Tm1,Tm2,Tm3,Tm4
1,A1,FALSE,NTC,Acerv,NTC,SYBR,None,38.687,,,,,,,,,,TRUE,0.092,TRUE,3,35,No Amp,,0.235,N,N,N,N,74.596,,,
2,A2,FALSE,NTC,A,NTC,SYBR,None,33.545,,,,,,,,,,TRUE,0.118,TRUE,3,30,Amp,,0.965,N,Y,N,N,79.609,,,
3,A3,FALSE,1,Acerv,UNKNOWN,SYBR,None,23.566,23.718,0.214,,,,,,,,TRUE,0.092,TRUE,3,19,Amp,,0.963,N,N,N,N,73.407,,,
4,A4,FALSE,1,A,UNKNOWN,SYBR,None,21.986,21.854,0.186,,,,,,,,TRUE,0.118,TRUE,3,17,Amp,,0.973,N,N,N,N,85.635,,,
5,A5,FALSE,1,Acerv,UNKNOWN,SYBR,None,23.869,23.718,0.214,,,,,,,,TRUE,0.092,TRUE,3,19,Amp,,0.960,N,N,N,N,73.403,,,
6,A6,FALSE,1,A,UNKNOWN,SYBR,None,21.722,21.854,0.186,,,,,,,,TRUE,0.118,TRUE,3,18,Amp,,0.972,N,N,N,N,85.332,,,
7,A7,FALSE,9,Acerv,UNKNOWN,SYBR,None,25.143,25.662,0.734,,,,,,,,TRUE,0.092,TRUE,3,21,Amp,,0.985,N,N,Y,N,73.406,,,
8,A8,FALSE,9,A,UNKNOWN,SYBR,None,20.191,20.352,0.228,,,,,,,,TRUE,0.118,TRUE,3,15,Amp,,0.860,N,N,N,N,85.338,,,
9,A9,FALSE,9,Acerv,UNKNOWN,SYBR,None,26.181,25.662,0.734,,,,,,,,TRUE,0.092,TRUE,3,22,Amp,,0.977,N,N,Y,N,73.568,,,
10,A10,FALSE,9,A,UNKNOWN,SYBR,None,20.513,20.352,0.228,,,,,,,,TRUE,0.118,TRUE,3,16,Amp,,0.956,N,N,N,N,85.661,,,
11,A11,FALSE,+,Acerv,UNKNOWN,SYBR,None,7.542,7.402,0.197,,,,,,,,TRUE,0.092,TRUE,3,5,Amp,,0.914,N,N,N,N,73.858,,,
12,A12,FALSE,+,A,UNKNOWN,SYBR,None,7.864,7.856,0.011,,,,,,,,TRUE,0.118,TRUE,3,5,Amp,,0.868,N,N,N,N,85.651,,,
13,B1,FALSE,13,Acerv,UNKNOWN,SYBR,None,26.039,26.083,0.062,,,,,,,,TRUE,0.092,TRUE,3,21,Amp,,0.957,N,N,N,N,73.269,,,
14,B2,FALSE,13,A,UNKNOWN,SYBR,None,20.580,20.529,0.072,,,,,,,,TRUE,0.118,TRUE,3,16,Amp,,0.976,N,N,N,N,85.358,,,
15,B3,FALSE,13,Acerv,UNKNOWN,SYBR,None,26.126,26.083,0.062,,,,,,,,TRUE,0.092,TRUE,3,21,Amp,,0.913,N,N,N,N,73.555,,,
16,B4,FALSE,13,A,UNKNOWN,SYBR,None,20.478,20.529,0.072,,,,,,,,TRUE,0.118,TRUE,3,17,Amp,,0.975,N,N,N,N,85.635,,,
17,B5,FALSE,14,Acerv,UNKNOWN,SYBR,None,25.181,25.125,0.078,,,,,,,,TRUE,0.092,TRUE,3,20,Amp,,0.937,N,N,N,N,73.403,,,
18,B6,FALSE,14,A,UNKNOWN,SYBR,None,21.292,20.965,0.463,,,,,,,,TRUE,0.118,TRUE,3,17,Amp,,0.951,N,N,N,N,85.332,,,
19,B7,FALSE,14,Acerv,UNKNOWN,SYBR,None,25.070,25.125,0.078,,,,,,,,TRUE,0.092,TRUE,3,20,Amp,,0.979,N,N,N,N,73.406,,,
20,B8,FALSE,14,A,UNKNOWN,SYBR,None,20.637,20.965,0.463,,,,,,,,TRUE,0.118,TRUE,3,16,Amp,,0.968,N,N,N,N,85.486,,,
21,B9,FALSE,21,Acerv,UNKNOWN,SYBR,None,24.590,24.688,0.139,,,,,,,,TRUE,0.092,TRUE,3,19,Amp,,0.987,N,N,N,N,73.716,,,
22,B10,FALSE,21,A,UNKNOWN,SYBR,None,20.660,20.586,0.105,,,,,,,,TRUE,0.118,TRUE,3,17,Amp,,0.922,N,N,N,N,85.661,,,
