Block Type,96-Well 0.1-mL Block,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Background is expired ,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Background performed on,3/2/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ABY is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ABY performed on,3/2/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye FAM is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye FAM performed on,9/19/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye JUN is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye JUN performed on,3/2/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye NED is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye NED performed on,3/2/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ROX is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ROX performed on,9/19/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye SYBR is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye SYBR performed on,9/19/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye TAMRA is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye TAMRA performed on,3/2/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye VIC is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye VIC performed on,9/19/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration ROI is expired ,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration ROI performed on,3/2/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Uniformity is expired ,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Uniformity performed on,3/2/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date Created,2021-02-24 15:44:11 PM PST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Barcode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Comment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,E:\DK\DK_T1_Subsample_2_redo.eds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Name,DK_T1_Subsample_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2021-02-23 11:14:08 AM PST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Type,Standard Curve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Name,172310454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Serial Number,172310454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Type,QuantStudio™ 3 System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Post-read Stage/Step,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pre-read Stage/Step,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quantification Cycle Method,Ct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Signal Smoothing On,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stage where Melt Analysis is performed,Stage3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stage/ Cycle where Ct Analysis is performed,"Stage2, Step2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Well,Well Position,Omit,Sample Name,Target Name,Task,Reporter,Quencher,CT,Ct Mean,Ct SD,Quantity,Quantity Mean,Quantity SD,Y-Intercept,R(superscript 2),Slope,Efficiency,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Amp Status,Comments,Cq Conf,MTP,NOISE,CQCONF,HIGHSD,Tm1,Tm2,Tm3,Tm4
1,A1,FALSE,NTC,Acerv,NTC,SYBR,None,Undetermined,,,,,,,,,,TRUE,0.241,TRUE,3,13,No Amp,,0,N,N,N,N,60.001,,,
2,A2,FALSE,NTC,A,NTC,SYBR,None,Undetermined,,,,,,,,,,TRUE,0.189,TRUE,3,39,No Amp,,0,Y,N,N,N,76.65,83.723,90.648,
3,A3,FALSE,A091,Acerv,UNKNOWN,SYBR,None,26.499,26.405,0.133,,,,,,,,TRUE,0.241,TRUE,3,21,Amp,,0.979,N,N,N,N,74.285,,,
4,A4,FALSE,A091,A,UNKNOWN,SYBR,None,22.091,22.1,0.012,,,,,,,,TRUE,0.189,TRUE,3,17,Amp,,0.973,N,N,N,N,85.77,,,
5,A5,FALSE,A091,Acerv,UNKNOWN,SYBR,None,26.311,26.405,0.133,,,,,,,,TRUE,0.241,TRUE,3,21,Amp,,0.977,N,N,N,N,74.129,,,
6,A6,FALSE,A091,A,UNKNOWN,SYBR,None,22.109,22.1,0.012,,,,,,,,TRUE,0.189,TRUE,3,17,Amp,,0.958,N,N,N,N,85.607,,,
7,A7,FALSE,A154,Acerv,UNKNOWN,SYBR,None,27.154,27.545,0.553,,,,,,,,TRUE,0.241,TRUE,3,22,Amp,,0.954,N,N,N,Y,74.136,,,
8,A8,FALSE,A154,A,UNKNOWN,SYBR,None,20.403,20.446,0.06,,,,,,,,TRUE,0.189,TRUE,3,14,Amp,,0.812,N,N,N,N,85.621,,,
9,A9,FALSE,A154,Acerv,UNKNOWN,SYBR,None,27.936,27.545,0.553,,,,,,,,TRUE,0.241,TRUE,3,23,Amp,,0.972,N,N,N,Y,74.448,,,
10,A10,FALSE,A154,A,UNKNOWN,SYBR,None,20.488,20.446,0.06,,,,,,,,TRUE,0.189,TRUE,3,16,Amp,,0.891,N,N,N,N,85.947,,,
11,A11,FALSE,+,Acerv,UNKNOWN,SYBR,None,5.647,5.571,0.108,,,,,,,,TRUE,0.241,TRUE,3,3,Amp,,0.74,N,Y,Y,N,74.443,,,
12,A12,FALSE,+,A,UNKNOWN,SYBR,None,8.532,8.622,0.127,,,,,,,,TRUE,0.189,TRUE,3,5,Amp,,0.559,N,N,Y,N,85.643,,,
13,B1,FALSE,A186,Acerv,UNKNOWN,SYBR,None,26.346,26.266,0.112,,,,,,,,TRUE,0.241,TRUE,3,21,Amp,,0.94,N,N,N,N,74.293,,,
14,B2,FALSE,A186,A,UNKNOWN,SYBR,None,22.071,21.961,0.155,,,,,,,,TRUE,0.189,TRUE,3,17,Amp,,0.947,N,N,N,N,85.491,,,
15,B3,FALSE,A186,Acerv,UNKNOWN,SYBR,None,26.187,26.266,0.112,,,,,,,,TRUE,0.241,TRUE,3,21,Amp,,0.963,N,N,N,N,74.285,,,
16,B4,FALSE,A186,A,UNKNOWN,SYBR,None,21.851,21.961,0.155,,,,,,,,TRUE,0.189,TRUE,3,17,Amp,,0.948,N,N,N,N,85.77,,,
17,B5,FALSE,218,Acerv,UNKNOWN,SYBR,None,25.038,24.987,0.073,,,,,,,,TRUE,0.241,TRUE,3,20,Amp,,0.979,N,N,N,N,74.129,,,
18,B6,FALSE,218,A,UNKNOWN,SYBR,None,22.508,22.28,0.323,,,,,,,,TRUE,0.189,TRUE,3,17,Amp,,0.848,N,N,N,N,85.607,,,
19,B7,FALSE,218,Acerv,UNKNOWN,SYBR,None,24.935,24.987,0.073,,,,,,,,TRUE,0.241,TRUE,3,18,Amp,,0.996,N,N,N,N,74.136,,,
20,B8,FALSE,218,A,UNKNOWN,SYBR,None,22.052,22.28,0.323,,,,,,,,TRUE,0.189,TRUE,3,17,Amp,,0.926,N,N,N,N,85.621,,,
21,B9,FALSE,245,Acerv,UNKNOWN,SYBR,None,25.302,25.566,0.373,,,,,,,,TRUE,0.241,TRUE,3,18,Amp,,0.982,N,N,N,N,74.448,,,
22,B10,FALSE,245,A,UNKNOWN,SYBR,None,22.486,22.486,,,,,,,,,TRUE,0.189,TRUE,3,18,Amp,,0.966,N,N,N,N,85.8,,,
