Block Type,96-Well 0.1-mL Block,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Background is expired ,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Background performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ABY is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ABY performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye FAM is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye FAM performed on,09-19-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye JUN is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye JUN performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye NED is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye NED performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ROX is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ROX performed on,09-19-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye SYBR is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye SYBR performed on,09-19-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye TAMRA is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye TAMRA performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye VIC is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye VIC performed on,09-19-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration ROI is expired ,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration ROI performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Uniformity is expired ,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Uniformity performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date Created,2021-03-30 16:30:50 PM PDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Barcode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Comment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,E:\DK_T1_Subsample2_p1.eds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Name,DK_T1_Subsample_2_p1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2021-03-24 11:49:03 AM PDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Type,Standard Curve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Name,      172310454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Serial Number,172310454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Type,QuantStudio™ 3 System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Post-read Stage/Step,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pre-read Stage/Step,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quantification Cycle Method,Ct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Signal Smoothing On,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stage where Melt Analysis is performed,Stage3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stage/ Cycle where Ct Analysis is performed,"Stage2, Step2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Well,Well Position,Omit,Sample Name,Target Name,Task,Reporter,Quencher,CT,Ct Mean,Ct SD,Quantity,Quantity Mean,Quantity SD,Y-Intercept,R(superscript 2),Slope,Efficiency,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Amp Status,Comments,Cq Conf,MTP,AMPNC,HIGHSD,Tm1,Tm2,Tm3,Tm4
1,A1,FALSE,NTC,Acerv,NTC,SYBR,None,Undetermined,,,,,,,,,,TRUE,0.166,TRUE,3,39,No Amp,,0.000,N,N,N,60.885,,,
2,A2,FALSE,NTC,A,NTC,SYBR,None,36.377,,,,,,,,,,TRUE,0.231,TRUE,3,30,Inconclusive,,0.942,N,N,N,84.906,,,
3,A3,FALSE,8,Acerv,UNKNOWN,SYBR,None,23.852,23.843,0.013,,,,,,,,TRUE,0.166,TRUE,3,19,Amp,,0.968,N,N,N,75.460,,,
4,A4,FALSE,8,A,UNKNOWN,SYBR,None,21.124,21.299,0.247,,,,,,,,TRUE,0.231,TRUE,3,16,Amp,,0.974,N,N,N,87.974,,,
5,A5,FALSE,8,Acerv,UNKNOWN,SYBR,None,23.834,23.843,0.013,,,,,,,,TRUE,0.166,TRUE,3,19,Amp,,0.955,N,N,N,75.303,,,
6,A6,FALSE,8,A,UNKNOWN,SYBR,None,21.474,21.299,0.247,,,,,,,,TRUE,0.231,TRUE,3,16,Amp,,0.970,N,N,N,87.810,,,
7,A7,FALSE,10,Acerv,UNKNOWN,SYBR,None,25.852,26.413,0.793,,,,,,,,TRUE,0.166,TRUE,3,21,Amp,,0.966,N,N,Y,75.313,,,
8,A8,FALSE,10,A,UNKNOWN,SYBR,None,23.562,22.709,1.207,,,,,,,,TRUE,0.231,TRUE,3,18,Amp,,0.806,N,N,Y,87.681,,,
9,A9,FALSE,10,Acerv,UNKNOWN,SYBR,None,26.974,26.413,0.793,,,,,,,,TRUE,0.166,TRUE,3,22,Amp,,0.919,N,N,Y,75.479,,,
10,A10,FALSE,10,A,UNKNOWN,SYBR,None,21.855,22.709,1.207,,,,,,,,TRUE,0.231,TRUE,3,16,Amp,,0.964,N,N,Y,88.010,,,
11,A11,FALSE,+,Acerv,UNKNOWN,SYBR,None,19.328,18.954,0.528,,,,,,,,TRUE,0.166,TRUE,3,15,Amp,,0.973,N,N,Y,75.474,,,
12,A12,FALSE,+,A,UNKNOWN,SYBR,None,9.048,8.846,0.286,,,,,,,,TRUE,0.231,TRUE,3,5,Amp,,0.966,N,N,N,87.853,,,
13,B1,FALSE,11,Acerv,UNKNOWN,SYBR,None,25.276,25.294,0.025,,,,,,,,TRUE,0.166,TRUE,3,20,Amp,,0.966,N,N,N,75.327,,,
14,B2,FALSE,11,A,UNKNOWN,SYBR,None,21.769,21.881,0.159,,,,,,,,TRUE,0.231,TRUE,3,16,Amp,,0.971,N,N,N,87.706,,,
15,B3,FALSE,11,Acerv,UNKNOWN,SYBR,None,25.312,25.294,0.025,,,,,,,,TRUE,0.166,TRUE,3,21,Amp,,0.973,N,N,N,75.312,,,
16,B4,FALSE,11,A,UNKNOWN,SYBR,None,21.994,21.881,0.159,,,,,,,,TRUE,0.231,TRUE,3,17,Amp,,0.981,N,N,N,87.974,,,
17,B5,FALSE,12,Acerv,UNKNOWN,SYBR,None,24.365,24.364,0.001,,,,,,,,TRUE,0.166,TRUE,3,19,Amp,,0.968,N,N,N,75.303,,,
18,B6,FALSE,12,A,UNKNOWN,SYBR,None,22.630,22.538,0.131,,,,,,,,TRUE,0.231,TRUE,3,17,Amp,,0.975,N,N,N,87.810,,,
19,B7,FALSE,12,Acerv,UNKNOWN,SYBR,None,24.363,24.364,0.001,,,,,,,,TRUE,0.166,TRUE,3,19,Amp,,0.969,N,N,N,75.313,,,
20,B8,FALSE,12,A,UNKNOWN,SYBR,None,22.446,22.538,0.131,,,,,,,,TRUE,0.231,TRUE,3,16,Amp,,0.977,N,N,N,87.828,,,
21,B9,FALSE,15,Acerv,UNKNOWN,SYBR,None,29.431,29.181,0.354,,,,,,,,TRUE,0.166,TRUE,3,25,Amp,,0.971,N,N,N,75.332,,,
22,B10,FALSE,15,A,UNKNOWN,SYBR,None,21.795,21.825,0.043,,,,,,,,TRUE,0.231,TRUE,3,17,Amp,,0.963,N,N,N,88.010,,,
23,B11,FALSE,15,Acerv,UNKNOWN,SYBR,None,28.931,29.181,0.354,,,,,,,,TRUE,0.166,TRUE,3,24,Amp,,0.971,N,N,N,75.179,,,
