Block Type,96-Well 0.1-mL Block,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Background is expired ,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Background performed on,3/2/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ABY is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ABY performed on,3/2/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye FAM is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye FAM performed on,9/19/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye JUN is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye JUN performed on,3/2/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye NED is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye NED performed on,3/2/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ROX is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ROX performed on,9/19/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye SYBR is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye SYBR performed on,9/19/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye TAMRA is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye TAMRA performed on,3/2/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye VIC is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye VIC performed on,9/19/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration ROI is expired ,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration ROI performed on,3/2/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Uniformity is expired ,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Uniformity performed on,3/2/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date Created,2021-01-21 16:22:48 PM PST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Barcode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Comment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,E:\DK_T1_Subsample_2.eds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Name,DK_T1_Subsample_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2021-01-21 12:54:15 PM PST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Type,Standard Curve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Name,172310454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Serial Number,172310454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Type,QuantStudio™ 3 System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Post-read Stage/Step,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pre-read Stage/Step,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quantification Cycle Method,Ct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Signal Smoothing On,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stage where Melt Analysis is performed,Stage3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stage/ Cycle where Ct Analysis is performed,"Stage2, Step2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Well,Well Position,Omit,Sample Name,Target Name,Task,Reporter,Quencher,CT,Ct Mean,Ct SD,Quantity,Quantity Mean,Quantity SD,Y-Intercept,R(superscript 2),Slope,Efficiency,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Amp Status,Comments,Cq Conf,CQCONF,MTP,EXPFAIL,HIGHSD,NOAMP,PRFDROP,Tm1,Tm2,Tm3,Tm4
1,A1,FALSE,NTC,Acerv,UNKNOWN,SYBR,None,Undetermined,,,,,,,,,,TRUE,0.353,TRUE,3,39,No Amp,,0,Y,N,Y,N,N,N,60,,,
2,A2,FALSE,NTC,A,UNKNOWN,SYBR,None,Undetermined,,,,,,,,,,TRUE,0.212,TRUE,3,39,No Amp,,0,Y,N,Y,N,Y,N,60,,,
3,A3,FALSE,A091,Acerv,UNKNOWN,SYBR,None,26.947,26.851,0.135,,,,,,,,TRUE,0.353,TRUE,3,21,Amp,,0.986,N,N,N,N,N,N,74.295,,,
4,A4,FALSE,A091,A,UNKNOWN,SYBR,None,22.491,22.419,0.103,,,,,,,,TRUE,0.212,TRUE,3,17,Amp,,0.982,N,N,N,N,N,N,85.789,,,
5,A5,FALSE,A091,Acerv,UNKNOWN,SYBR,None,26.755,26.851,0.135,,,,,,,,TRUE,0.353,TRUE,3,21,Amp,,0.99,N,N,N,N,N,N,74.147,,,
6,A6,FALSE,A091,A,UNKNOWN,SYBR,None,22.346,22.419,0.103,,,,,,,,TRUE,0.212,TRUE,3,17,Amp,,0.946,N,N,N,N,N,N,85.494,,,
7,A7,FALSE,A154,Acerv,UNKNOWN,SYBR,None,28.067,28.247,0.254,,,,,,,,TRUE,0.353,TRUE,3,20,Amp,,0.991,N,N,N,N,N,N,74,,,
8,A8,FALSE,A154,A,UNKNOWN,SYBR,None,21.008,20.85,0.223,,,,,,,,TRUE,0.212,TRUE,3,16,Amp,,0.925,N,N,N,N,N,N,85.494,,,
9,A9,FALSE,A154,Acerv,UNKNOWN,SYBR,None,28.426,28.247,0.254,,,,,,,,TRUE,0.353,TRUE,3,21,Amp,,0.97,N,N,N,N,N,N,74.147,,,
10,A10,FALSE,A154,A,UNKNOWN,SYBR,None,20.693,20.85,0.223,,,,,,,,TRUE,0.212,TRUE,3,15,Amp,,0.89,N,N,N,N,N,N,85.789,,,
11,A11,FALSE,+,Acerv,UNKNOWN,SYBR,None,8.865,8.051,1.151,,,,,,,,TRUE,0.353,TRUE,3,5,Amp,,0.954,N,N,N,Y,N,N,74.147,,,
12,A12,FALSE,+,A,UNKNOWN,SYBR,None,8.505,8.861,0.502,,,,,,,,TRUE,0.212,TRUE,3,5,Amp,,0.602,Y,N,N,Y,N,N,85.494,,,
13,B1,FALSE,A186,Acerv,UNKNOWN,SYBR,None,27.178,26.939,0.339,,,,,,,,TRUE,0.353,TRUE,3,21,Amp,,0.989,N,N,N,N,N,N,73.705,,,
14,B2,FALSE,A186,A,UNKNOWN,SYBR,None,22.128,22.128,0.001,,,,,,,,TRUE,0.212,TRUE,3,16,Amp,,0.955,N,N,N,N,N,N,85.347,,,
15,B3,FALSE,A186,Acerv,UNKNOWN,SYBR,None,26.699,26.939,0.339,,,,,,,,TRUE,0.353,TRUE,3,21,Amp,,0.988,N,N,N,N,N,N,74.295,,,
16,B4,FALSE,A186,A,UNKNOWN,SYBR,None,22.129,22.128,0.001,,,,,,,,TRUE,0.212,TRUE,3,17,Amp,,0.963,N,N,N,N,N,N,85.789,,,
17,B5,FALSE,218,Acerv,UNKNOWN,SYBR,None,25.892,25.692,0.284,,,,,,,,TRUE,0.353,TRUE,3,20,Amp,,0.993,N,N,N,N,N,N,74,,,
18,B6,FALSE,218,A,UNKNOWN,SYBR,None,22.527,22.573,0.065,,,,,,,,TRUE,0.212,TRUE,3,18,Amp,,0.918,N,N,N,N,N,N,85.642,,,
19,B7,FALSE,218,Acerv,UNKNOWN,SYBR,None,25.491,25.692,0.284,,,,,,,,TRUE,0.353,TRUE,3,20,Amp,,0.994,N,N,N,N,N,N,74.147,,,
20,B8,FALSE,218,A,UNKNOWN,SYBR,None,22.619,22.573,0.065,,,,,,,,TRUE,0.212,TRUE,3,17,Amp,,0.953,N,N,N,N,N,N,85.494,,,
