Block Type,96-Well 0.1-mL Block,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Background is expired ,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Background performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ABY is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ABY performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye FAM is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye FAM performed on,09-19-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye JUN is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye JUN performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye NED is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye NED performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ROX is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ROX performed on,09-19-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye SYBR is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye SYBR performed on,09-19-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye TAMRA is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye TAMRA performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye VIC is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye VIC performed on,09-19-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration ROI is expired ,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration ROI performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Uniformity is expired ,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Uniformity performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date Created,2021-03-25 12:44:39 PM PDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Barcode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Comment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Users\INSTR-ADMIN\Desktop\DK_T1_Subsample2_p2.eds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Name,DK_T1_Subsample_2_p2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2021-03-24 13:45:57 PM PDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Type,Standard Curve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Name,      172310454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Serial Number,172310454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Type,QuantStudio™ 3 System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Post-read Stage/Step,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pre-read Stage/Step,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quantification Cycle Method,Ct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Signal Smoothing On,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stage where Melt Analysis is performed,Stage3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stage/ Cycle where Ct Analysis is performed,"Stage2, Step2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Well,Well Position,Omit,Sample Name,Target Name,Task,Reporter,Quencher,CT,Ct Mean,Ct SD,Quantity,Quantity Mean,Quantity SD,Y-Intercept,R(superscript 2),Slope,Efficiency,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Amp Status,Comments,Cq Conf,MTP,AMPNC,HIGHSD,Tm1,Tm2,Tm3,Tm4
1,A1,FALSE,NTC,Acerv,NTC,SYBR,None,Undetermined,,,,,,,,,,TRUE,0.183,TRUE,3,39,No Amp,,0.000,N,N,N,60.444,,,
2,A2,FALSE,NTC,A,NTC,SYBR,None,36.537,,,,,,,,,,TRUE,0.418,TRUE,3,30,Amp,,0.950,N,N,N,77.525,,,
3,A3,FALSE,130,Acerv,UNKNOWN,SYBR,None,26.278,26.312,0.047,,,,,,,,TRUE,0.183,TRUE,3,21,Amp,,0.974,N,N,N,75.440,,,
4,A4,FALSE,130,A,UNKNOWN,SYBR,None,24.051,24.027,0.034,,,,,,,,TRUE,0.418,TRUE,3,18,Amp,,0.973,N,N,N,88.084,,,
5,A5,FALSE,130,Acerv,UNKNOWN,SYBR,None,26.345,26.312,0.047,,,,,,,,TRUE,0.183,TRUE,3,21,Amp,,0.966,N,N,N,75.289,,,
6,A6,FALSE,130,A,UNKNOWN,SYBR,None,24.003,24.027,0.034,,,,,,,,TRUE,0.418,TRUE,3,18,Amp,,0.970,N,N,N,87.783,,,
7,A7,FALSE,135,Acerv,UNKNOWN,SYBR,None,25.653,26.306,0.923,,,,,,,,TRUE,0.183,TRUE,3,21,Amp,,0.972,N,N,Y,75.300,,,
8,A8,FALSE,135,A,UNKNOWN,SYBR,None,23.978,24.001,0.033,,,,,,,,TRUE,0.418,TRUE,3,18,Amp,,0.975,N,N,N,87.803,,,
9,A9,FALSE,135,Acerv,UNKNOWN,SYBR,None,26.958,26.306,0.923,,,,,,,,TRUE,0.183,TRUE,3,22,Amp,,0.939,N,N,Y,75.472,,,
10,A10,FALSE,135,A,UNKNOWN,SYBR,None,24.025,24.001,0.033,,,,,,,,TRUE,0.418,TRUE,3,18,Amp,,0.955,N,N,N,87.994,,,
11,A11,FALSE,+,Acerv,UNKNOWN,SYBR,None,26.837,26.841,0.007,,,,,,,,TRUE,0.183,TRUE,3,23,Amp,,0.931,N,N,N,75.317,,,
12,A12,FALSE,+,A,UNKNOWN,SYBR,None,9.932,9.814,0.167,,,,,,,,TRUE,0.418,TRUE,3,5,Amp,,0.926,N,N,N,87.833,,,
13,B1,FALSE,137,Acerv,UNKNOWN,SYBR,None,26.222,26.041,0.257,,,,,,,,TRUE,0.183,TRUE,3,20,Amp,,0.970,N,N,N,75.316,,,
14,B2,FALSE,137,A,UNKNOWN,SYBR,None,23.986,23.984,0.003,,,,,,,,TRUE,0.418,TRUE,3,18,Amp,,0.970,N,N,N,87.685,,,
15,B3,FALSE,137,Acerv,UNKNOWN,SYBR,None,25.859,26.041,0.257,,,,,,,,TRUE,0.183,TRUE,3,20,Amp,,0.970,N,N,N,75.440,,,
16,B4,FALSE,137,A,UNKNOWN,SYBR,None,23.983,23.984,0.003,,,,,,,,TRUE,0.418,TRUE,3,18,Amp,,0.976,N,N,N,87.937,,,
17,B5,FALSE,142,Acerv,UNKNOWN,SYBR,None,26.154,26.104,0.070,,,,,,,,TRUE,0.183,TRUE,3,21,Amp,,0.974,N,N,N,75.289,,,
18,B6,FALSE,142,A,UNKNOWN,SYBR,None,25.078,24.874,0.287,,,,,,,,TRUE,0.418,TRUE,3,18,Amp,,0.967,N,N,N,87.783,,,
19,B7,FALSE,142,Acerv,UNKNOWN,SYBR,None,26.054,26.104,0.070,,,,,,,,TRUE,0.183,TRUE,3,21,Amp,,0.972,N,N,N,75.153,,,
20,B8,FALSE,142,A,UNKNOWN,SYBR,None,24.671,24.874,0.287,,,,,,,,TRUE,0.418,TRUE,3,18,Amp,,0.984,N,N,N,87.803,,,
21,B9,FALSE,143,Acerv,UNKNOWN,SYBR,None,27.729,27.736,0.010,,,,,,,,TRUE,0.183,TRUE,3,23,Amp,,0.978,N,N,N,75.324,,,
22,B10,FALSE,143,A,UNKNOWN,SYBR,None,23.042,22.905,0.195,,,,,,,,TRUE,0.418,TRUE,3,18,Amp,,0.943,N,N,N,87.994,,,
23,B11,FALSE,143,Acerv,UNKNOWN,SYBR,None,27.742,27.736,0.010,,,,,,,,TRUE,0.183,TRUE,3,23,Amp,,0.973,N,N,N,75.170,,,
