Block Type,96-Well 0.1-mL Block,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Background is expired ,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Background performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ABY is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ABY performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye FAM is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye FAM performed on,09-19-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye JUN is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye JUN performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye NED is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye NED performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ROX is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ROX performed on,09-19-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye SYBR is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye SYBR performed on,09-19-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye TAMRA is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye TAMRA performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye VIC is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye VIC performed on,09-19-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration ROI is expired ,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration ROI performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Uniformity is expired ,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Uniformity performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date Created,2021-03-30 16:43:44 PM PDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Barcode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Comment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,E:\DK\DK_T1_Anas_samples_p1.eds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Name,DK_T1_Anas_samples_p1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2021-03-30 13:00:16 PM PDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Type,Standard Curve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Name,      172310454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Serial Number,172310454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Type,QuantStudio™ 3 System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Post-read Stage/Step,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pre-read Stage/Step,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quantification Cycle Method,Ct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Signal Smoothing On,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stage where Melt Analysis is performed,Stage3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stage/ Cycle where Ct Analysis is performed,"Stage2, Step2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Well,Well Position,Omit,Sample Name,Target Name,Task,Reporter,Quencher,CT,Ct Mean,Ct SD,Quantity,Quantity Mean,Quantity SD,Y-Intercept,R(superscript 2),Slope,Efficiency,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Amp Status,Comments,Cq Conf,CQCONF,MTP,HIGHSD,Tm1,Tm2,Tm3,Tm4
1,A1,FALSE,NTC,Acerv,NTC,SYBR,None,Undetermined,,,,,,,,,,TRUE,0.108,TRUE,3,39,No Amp,,0.000,N,N,N,59.999,,,
2,A2,FALSE,NTC,A,NTC,SYBR,None,Undetermined,,,,,,,,,,TRUE,0.231,TRUE,3,35,No Amp,,0.000,N,N,N,84.895,,,
3,A3,FALSE,A1,Acerv,UNKNOWN,SYBR,None,16.949,17.115,0.234,,,,,,,,TRUE,0.108,TRUE,3,13,Amp,,0.990,N,N,N,75.600,,,
4,A4,FALSE,A1,A,UNKNOWN,SYBR,None,17.834,17.829,0.008,,,,,,,,TRUE,0.231,TRUE,3,12,Amp,,0.994,N,N,N,87.963,,,
5,A5,FALSE,A1,Acerv,UNKNOWN,SYBR,None,17.280,17.115,0.234,,,,,,,,TRUE,0.108,TRUE,3,13,Amp,,0.988,N,N,N,75.450,,,
6,A6,FALSE,A1,A,UNKNOWN,SYBR,None,17.823,17.829,0.008,,,,,,,,TRUE,0.231,TRUE,3,13,Amp,,0.992,N,N,N,87.811,,,
7,A7,FALSE,A2,Acerv,UNKNOWN,SYBR,None,17.138,17.660,0.739,,,,,,,,TRUE,0.108,TRUE,3,12,Amp,,0.972,N,N,Y,75.452,,,
8,A8,FALSE,A2,A,UNKNOWN,SYBR,None,18.002,17.931,0.101,,,,,,,,TRUE,0.231,TRUE,3,13,Amp,,0.966,N,N,N,87.815,,,
9,A9,FALSE,A2,Acerv,UNKNOWN,SYBR,None,18.183,17.660,0.739,,,,,,,,TRUE,0.108,TRUE,3,14,Amp,,0.905,N,N,Y,75.621,,,
10,A10,FALSE,A2,A,UNKNOWN,SYBR,None,17.859,17.931,0.101,,,,,,,,TRUE,0.231,TRUE,3,14,Amp,,0.960,N,N,N,88.001,,,
11,A11,FALSE,+,Acerv,UNKNOWN,SYBR,None,18.880,18.225,0.925,,,,,,,,TRUE,0.108,TRUE,3,15,Amp,,0.978,N,N,Y,75.321,,,
12,A12,FALSE,+,A,UNKNOWN,SYBR,None,13.424,13.270,0.217,,,,,,,,TRUE,0.231,TRUE,3,9,Amp,,0.968,N,N,N,87.842,,,
13,B1,FALSE,A3,Acerv,UNKNOWN,SYBR,None,17.375,17.312,0.089,,,,,,,,TRUE,0.108,TRUE,3,13,Amp,,0.971,N,N,N,75.467,,,
14,B2,FALSE,A3,A,UNKNOWN,SYBR,None,17.896,17.847,0.068,,,,,,,,TRUE,0.231,TRUE,3,14,Amp,,0.918,N,N,N,87.694,,,
15,B3,FALSE,A3,Acerv,UNKNOWN,SYBR,None,17.250,17.312,0.089,,,,,,,,TRUE,0.108,TRUE,3,13,Amp,,0.989,N,N,N,75.600,,,
16,B4,FALSE,A3,A,UNKNOWN,SYBR,None,17.799,17.847,0.068,,,,,,,,TRUE,0.231,TRUE,3,12,Amp,,0.978,N,N,N,87.963,,,
17,B5,FALSE,A4,Acerv,UNKNOWN,SYBR,None,16.872,16.836,0.052,,,,,,,,TRUE,0.108,TRUE,3,13,Amp,,0.906,N,N,N,75.303,,,
18,B6,FALSE,A4,A,UNKNOWN,SYBR,None,17.739,17.559,0.254,,,,,,,,TRUE,0.231,TRUE,3,13,Amp,,0.840,N,N,N,87.663,,,
19,B7,FALSE,A4,Acerv,UNKNOWN,SYBR,None,16.799,16.836,0.052,,,,,,,,TRUE,0.108,TRUE,3,13,Amp,,0.919,N,N,N,75.305,,,
20,B8,FALSE,A4,A,UNKNOWN,SYBR,None,17.380,17.559,0.254,,,,,,,,TRUE,0.231,TRUE,3,13,Amp,,0.886,N,N,N,87.668,,,
21,B9,FALSE,A5,Acerv,UNKNOWN,SYBR,None,16.895,17.001,0.151,,,,,,,,TRUE,0.108,TRUE,3,12,Amp,,0.988,N,N,N,75.473,,,
22,B10,FALSE,A5,A,UNKNOWN,SYBR,None,17.390,17.431,0.059,,,,,,,,TRUE,0.231,TRUE,3,12,Amp,,0.894,N,N,N,88.001,,,
23,B11,FALSE,A5,Acerv,UNKNOWN,SYBR,None,17.108,17.001,0.151,,,,,,,,TRUE,0.108,TRUE,3,13,Amp,,0.950,N,N,N,75.468,,,
