Block Type,96-Well 0.1-mL Block,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Background is expired ,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Background performed on,3/2/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ABY is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ABY performed on,3/2/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye FAM is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye FAM performed on,9/19/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye JUN is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye JUN performed on,3/2/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye NED is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye NED performed on,3/2/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ROX is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ROX performed on,9/19/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye SYBR is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye SYBR performed on,9/19/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye TAMRA is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye TAMRA performed on,3/2/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye VIC is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye VIC performed on,9/19/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration ROI is expired ,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration ROI performed on,3/2/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Uniformity is expired ,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Uniformity performed on,3/2/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date Created,2021-02-23 12:39:30 PM PST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Barcode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Comment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,E:\DK\DK_T1_Subsample_1_redo.eds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Name,DK_T1_Subsample_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2021-02-23 09:25:26 AM PST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Type,Standard Curve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Name,172310454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Serial Number,172310454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Type,QuantStudio™ 3 System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Post-read Stage/Step,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pre-read Stage/Step,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quantification Cycle Method,Ct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Signal Smoothing On,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stage where Melt Analysis is performed,Stage3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stage/ Cycle where Ct Analysis is performed,"Stage2, Step2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Well,Well Position,Omit,Sample Name,Target Name,Task,Reporter,Quencher,CT,Ct Mean,Ct SD,Quantity,Quantity Mean,Quantity SD,Y-Intercept,R(superscript 2),Slope,Efficiency,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Amp Status,Comments,Cq Conf,CQCONF,MTP,AMPNC,HIGHSD,Tm1,Tm2,Tm3,Tm4
1,A1,FALSE,NTC,Acerv,NTC,SYBR,None,Undetermined,,,,,,,,,,TRUE,0.233,TRUE,3,39,No Amp,,0,N,N,N,N,60,,,
2,A2,FALSE,NTC,A,NTC,SYBR,None,Undetermined,,,,,,,,,,TRUE,0.095,TRUE,3,29,No Amp,,0,N,Y,N,N,77.076,93.707,85.392,73.215
3,A3,FALSE,A004,Acerv,UNKNOWN,SYBR,None,23.963,23.944,0.027,,,,,,,,TRUE,0.233,TRUE,3,19,Amp,,0.98,N,N,N,N,74.239,,,
4,A4,FALSE,A004,A,UNKNOWN,SYBR,None,21.795,21.826,0.044,,,,,,,,TRUE,0.095,TRUE,3,18,Amp,,0.813,N,N,N,N,85.956,,,
5,A5,FALSE,A004,Acerv,UNKNOWN,SYBR,None,23.925,23.944,0.027,,,,,,,,TRUE,0.233,TRUE,3,19,Amp,,0.974,N,N,N,N,74.223,,,
6,A6,FALSE,A004,A,UNKNOWN,SYBR,None,21.856,21.826,0.044,,,,,,,,TRUE,0.095,TRUE,3,18,Amp,,0.758,Y,N,N,N,85.631,,,
7,A7,FALSE,A066,Acerv,UNKNOWN,SYBR,None,25.334,25.65,0.446,,,,,,,,TRUE,0.233,TRUE,3,20,Amp,,0.993,N,N,N,N,74.24,,,
8,A8,FALSE,A066,A,UNKNOWN,SYBR,None,20.45,20.63,0.254,,,,,,,,TRUE,0.095,TRUE,3,17,Amp,,0.699,Y,N,N,N,85.811,,,
9,A9,FALSE,A066,Acerv,UNKNOWN,SYBR,None,25.965,25.65,0.446,,,,,,,,TRUE,0.233,TRUE,3,19,Amp,,0.982,N,N,N,N,74.264,,,
10,A10,FALSE,A066,A,UNKNOWN,SYBR,None,20.809,20.63,0.254,,,,,,,,TRUE,0.095,TRUE,3,17,Amp,,0.769,Y,N,N,N,86.001,,,
11,A11,FALSE,+,Acerv,UNKNOWN,SYBR,None,8.084,8.09,0.008,,,,,,,,TRUE,0.233,TRUE,3,5,Amp,,0.95,N,N,N,N,74.404,,,
12,A12,FALSE,+,A,UNKNOWN,SYBR,None,7.551,7.689,0.196,,,,,,,,TRUE,0.095,TRUE,3,5,Amp,,0.49,Y,N,N,N,85.54,,,
13,B1,FALSE,A104,Acerv,UNKNOWN,SYBR,None,26.115,26.2,0.12,,,,,,,,TRUE,0.233,TRUE,3,21,Amp,,0.976,N,N,N,N,74.106,,,
14,B2,FALSE,A104,A,UNKNOWN,SYBR,None,20.876,20.638,0.336,,,,,,,,TRUE,0.095,TRUE,3,15,Amp,,0.793,Y,N,N,N,85.688,,,
15,B3,FALSE,A104,Acerv,UNKNOWN,SYBR,None,26.285,26.2,0.12,,,,,,,,TRUE,0.233,TRUE,3,21,Amp,,0.982,N,N,N,N,74.387,,,
16,B4,FALSE,A104,A,UNKNOWN,SYBR,None,20.401,20.638,0.336,,,,,,,,TRUE,0.095,TRUE,3,16,Amp,,0.762,Y,N,N,N,85.956,,,
17,B5,FALSE,A110,Acerv,UNKNOWN,SYBR,None,25.445,25.27,0.248,,,,,,,,TRUE,0.233,TRUE,3,20,Amp,,0.989,N,N,N,N,74.223,,,
18,B6,FALSE,A110,A,UNKNOWN,SYBR,None,21.531,21.234,0.42,,,,,,,,TRUE,0.095,TRUE,3,17,Amp,,0.807,N,N,N,N,85.631,,,
19,B7,FALSE,A110,Acerv,UNKNOWN,SYBR,None,25.095,25.27,0.248,,,,,,,,TRUE,0.233,TRUE,3,18,Amp,,0.983,N,N,N,N,74.24,,,
20,B8,FALSE,A110,A,UNKNOWN,SYBR,None,20.938,21.234,0.42,,,,,,,,TRUE,0.095,TRUE,3,16,Amp,,0.774,Y,N,N,N,85.663,,,
21,B9,FALSE,A180,Acerv,UNKNOWN,SYBR,None,24.741,24.803,0.088,,,,,,,,TRUE,0.233,TRUE,3,19,Amp,,0.99,N,N,N,N,74.412,,,
22,B10,FALSE,A180,A,UNKNOWN,SYBR,None,20.741,20.676,0.092,,,,,,,,TRUE,0.095,TRUE,3,16,Amp,,0.79,Y,N,N,N,85.853,,,
