Block Type,96-Well 0.1-mL Block,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Background is expired ,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Background performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ABY is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ABY performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye FAM is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye FAM performed on,09-19-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye JUN is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye JUN performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye NED is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye NED performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ROX is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ROX performed on,09-19-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye SYBR is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye SYBR performed on,09-19-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye TAMRA is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye TAMRA performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye VIC is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye VIC performed on,09-19-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration ROI is expired ,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration ROI performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Uniformity is expired ,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Uniformity performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date Created,2021-03-30 16:36:01 PM PDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Barcode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Comment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,E:\DK\DK_T1_Subsample1_p1_NEWSYBR.eds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Name,DK_T1_Subsample1_p1_NEWSYBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2021-03-24 15:41:05 PM PDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Type,Standard Curve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Name,      172310454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Serial Number,172310454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Type,QuantStudio™ 3 System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Post-read Stage/Step,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pre-read Stage/Step,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quantification Cycle Method,Ct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Signal Smoothing On,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stage where Melt Analysis is performed,Stage3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stage/ Cycle where Ct Analysis is performed,"Stage2, Step2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Well,Well Position,Omit,Sample Name,Target Name,Task,Reporter,Quencher,CT,Ct Mean,Ct SD,Quantity,Quantity Mean,Quantity SD,Y-Intercept,R(superscript 2),Slope,Efficiency,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Amp Status,Comments,Cq Conf,MTP,CQCONF,HIGHSD,Tm1,Tm2,Tm3,Tm4
1,A1,FALSE,NTC,Acerv,NTC,SYBR,None,Undetermined,,,,,,,,,,TRUE,0.177,TRUE,3,39,No Amp,,0.000,N,N,N,62.208,,,
2,A2,FALSE,NTC,A,NTC,SYBR,None,Undetermined,,,,,,,,,,TRUE,0.469,TRUE,3,34,Inconclusive,,0.000,Y,N,N,78.698,66.036,87.237,
3,A3,FALSE,Sample 1,Acerv,UNKNOWN,SYBR,None,24.441,24.453,0.016,,,,,,,,TRUE,0.177,TRUE,3,18,Amp,,0.969,N,N,N,75.440,,,
4,A4,FALSE,Sample 1,A,UNKNOWN,SYBR,None,23.641,23.567,0.105,,,,,,,,TRUE,0.469,TRUE,3,17,Amp,,0.977,N,N,N,88.086,,,
5,A5,FALSE,Sample 1,Acerv,UNKNOWN,SYBR,None,24.464,24.453,0.016,,,,,,,,TRUE,0.177,TRUE,3,19,Amp,,0.960,N,N,N,75.287,,,
6,A6,FALSE,Sample 1,A,UNKNOWN,SYBR,None,23.493,23.567,0.105,,,,,,,,TRUE,0.469,TRUE,3,16,Amp,,0.973,N,N,N,87.781,,,
7,A7,FALSE,Sample 9,Acerv,UNKNOWN,SYBR,None,26.234,26.857,0.881,,,,,,,,TRUE,0.177,TRUE,3,20,Amp,,0.960,N,N,Y,75.291,,,
8,A8,FALSE,Sample 9,A,UNKNOWN,SYBR,None,22.692,22.759,0.095,,,,,,,,TRUE,0.469,TRUE,3,16,Amp,,0.987,N,N,N,87.788,,,
9,A9,FALSE,Sample 9,Acerv,UNKNOWN,SYBR,None,27.480,26.857,0.881,,,,,,,,TRUE,0.177,TRUE,3,23,Amp,,0.674,N,Y,Y,75.466,,,
10,A10,FALSE,Sample 9,A,UNKNOWN,SYBR,None,22.825,22.759,0.095,,,,,,,,TRUE,0.469,TRUE,3,17,Amp,,0.958,N,N,N,88.133,,,
11,A11,FALSE,+,Acerv,UNKNOWN,SYBR,None,20.815,20.897,0.116,,,,,,,,TRUE,0.177,TRUE,3,16,Amp,,0.975,N,N,N,75.461,,,
12,A12,FALSE,+,A,UNKNOWN,SYBR,None,10.133,9.968,0.234,,,,,,,,TRUE,0.469,TRUE,3,5,Amp,,0.959,N,N,N,87.830,,,
13,B1,FALSE,Sample 13,Acerv,UNKNOWN,SYBR,None,26.944,26.871,0.104,,,,,,,,TRUE,0.177,TRUE,3,22,Amp,,0.970,N,N,N,75.312,,,
14,B2,FALSE,Sample 13,A,UNKNOWN,SYBR,None,22.287,22.321,0.048,,,,,,,,TRUE,0.469,TRUE,3,16,Amp,,0.973,N,N,N,87.826,,,
15,B3,FALSE,Sample 13,Acerv,UNKNOWN,SYBR,None,26.798,26.871,0.104,,,,,,,,TRUE,0.177,TRUE,3,21,Amp,,0.975,N,N,N,75.293,,,
16,B4,FALSE,Sample 13,A,UNKNOWN,SYBR,None,22.355,22.321,0.048,,,,,,,,TRUE,0.469,TRUE,3,16,Amp,,0.970,N,N,N,87.939,,,
17,B5,FALSE,Sample 14,Acerv,UNKNOWN,SYBR,None,25.979,25.963,0.022,,,,,,,,TRUE,0.177,TRUE,3,20,Amp,,0.978,N,N,N,75.287,,,
18,B6,FALSE,Sample 14,A,UNKNOWN,SYBR,None,22.719,22.783,0.091,,,,,,,,TRUE,0.469,TRUE,3,16,Amp,,0.972,N,N,N,87.781,,,
19,B7,FALSE,Sample 14,Acerv,UNKNOWN,SYBR,None,25.947,25.963,0.022,,,,,,,,TRUE,0.177,TRUE,3,21,Amp,,0.971,N,N,N,75.144,,,
20,B8,FALSE,Sample 14,A,UNKNOWN,SYBR,None,22.847,22.783,0.091,,,,,,,,TRUE,0.469,TRUE,3,16,Amp,,0.988,N,N,N,87.788,,,
21,B9,FALSE,Sample 21,Acerv,UNKNOWN,SYBR,None,25.499,25.456,0.061,,,,,,,,TRUE,0.177,TRUE,3,21,Amp,,0.966,N,N,N,75.466,,,
22,B10,FALSE,Sample 21,A,UNKNOWN,SYBR,None,22.557,22.624,0.095,,,,,,,,TRUE,0.469,TRUE,3,16,Amp,,0.961,N,N,N,87.986,,,
