Sample.Name,Genotype,Notes,Nutrients,Disease,Timepoint,File.Name,A.CT.mean,Acerv.CT.mean,A.CT.sd,Acerv.CT.sd,A.reps,Acerv.reps,A.Acerv
201,FM9,,NH4,Pathogen,T1,DK_T1_Subsample_1.csv,22.332,24.356,0.094752309,0.025455844,2,2,1.091674434
201,FM9,,NH4,Pathogen,T1,DK_T1_Subsample_1_re extract_plate2.csv,20.7395,23.47,0.171826948,1.663115149,2,2,1.78143849
201,FM9,,NH4,Pathogen,T1,DK_T1_Subsample_1_redo.csv,21.455,23.687,0.094752309,0.089095454,2,2,1.26097762
207,FM9,"given placebo treatment in 1st infection trial, given pathogen treatment in 2nd infection trial",Ambient,Pathogen*,T1,DK_T1_Subsample_2.csv,22.211,25.0025,0.318198052,0.095459415,2,2,1.858376313
207,FM9,"given placebo treatment in 1st infection trial, given pathogen treatment in 2nd infection trial",Ambient,Pathogen*,T1,DK_T1_Subsample_2_redo.csv,21.8405,24.572,0.2085965,0.120208153,2,2,1.782673717
218,FM9,,Ambient,Placebo,T1,DK_T1_Subsample_1_re extract_plate2.csv,21.726,24.1305,1.75079639,0.115258405,2,2,1.421134076
218,FM9,,Ambient,Placebo,T1,DK_T1_Subsample_2.csv,22.573,25.6915,0.065053824,0.283549819,2,2,2.331151344
218,FM9,,Ambient,Placebo,T1,DK_T1_Subsample_2_redo.csv,22.28,24.9865,0.322440692,0.072831998,2,2,1.75204845
228,FM9,,Ambient,Pathogen,T1,DK_T1_Subsample_1.csv,21.613,24.427,0.065053824,0.082024387,2,2,1.887586385
228,FM9,,Ambient,Pathogen,T1,DK_T1_Subsample_1_re extract_plate1.csv,20.35,23.62,0.084852814,0.18243355,2,2,2.58926508
228,FM9,,Ambient,Pathogen,T1,DK_T1_Subsample_1_redo.csv,20.8695,23.7225,0.225567063,0.072831998,2,2,1.939308969
230,FM6,,Ambient,Pathogen,T1,DK_T1_Subsample_1.csv,21.5935,25.173,0.316076731,0.154149278,2,2,3.208819572
230,FM6,,Ambient,Pathogen,T1,DK_T1_Subsample_1_re extract_plate1.csv,20.121,24.266,0.195161472,0.325269119,2,2,4.748733094
230,FM6,,Ambient,Pathogen,T1,DK_T1_Subsample_1_redo.csv,20.5395,24.2975,0.099702056,0.126572114,2,2,3.631442334
235,FM6,,NH4,Pathogen,T1,DK_T1_Subsample_1.csv,22.012,25.212,0.004242641,0.1668772,2,2,2.466632302
