Timepoint,Initial sample ID,Tag,SampleID,Date,Time,Genotype,Nutrients ,Diseased,Combo,Tank_N,Tank_D1,Tank_D2,Type,Notes,Archive box,FACS,Histology,Sequence,PairN,Plate,SamplePlate,Position,Extraction date,Plate ID,Well,Sample ID1,Date1,Time1,A.Acerv,Mortality,Date of Mortality,Mortality Notes ,Date Nutrients Start,Date Disease,Experiment End,Days Survived
T1,18,A016,N18_A016,10/30/2020,,Cooper-9,Ambient,Pathogen,Ambient_Pathogen,6,1,,Razor,,2,,,OnlyNutrients,,1,1,A1,2/4/2021,Plate1_RNA,A1,N18_A016,2/25/2021,11:39:00 AM,0.163633798,Died,11/5/2020,thin tissue,9/15/2020,10/31/2020,11/11/2020,5
T1,19,A053,N19_A053,10/30/2020,,Acerv2,Ambient,Pathogen,Ambient_Pathogen,1,1,,Razor,,2,,,OnlyNutrients,,1,2,B1,2/4/2021,Plate1_RNA,B1,N19_A053,2/25/2021,11:39:00 AM,0.174469006,Died,11/3/2020,,9/15/2020,10/31/2020,11/11/2020,3
T1,20,A088,N20_A088,10/30/2020,,Elkhorn,Ambient,Pathogen,Ambient_Pathogen,1,1,,Razor,,2,,,OnlyNutrients,,1,3,C1,2/4/2021,Plate1_RNA,C1,N20_A088,2/25/2021,11:39:00 AM,0.198890003,Died,11/8/2020,TL,9/15/2020,10/31/2020,11/11/2020,8
T1,21,A095,N21_A095,10/30/2020,,Kelsey-1,Ambient,Pathogen,Ambient_Pathogen,5,1,,Razor,,2,,,OnlyNutrients,,1,4,D1,2/4/2021,Plate1_RNA,D1,N21_A095,2/25/2021,11:39:00 AM,0.144790883,Lived,,sampled as pair 11/6/2020 ,9/15/2020,10/31/2020,11/11/2020,11
T1,22,A121,N22_A121,10/30/2020,,U44,Ambient,Pathogen,Ambient_Pathogen,5,1,,Razor,,2,,,OnlyNutrients,,1,5,E1,2/4/2021,Plate1_RNA,E1,N22_A121,2/25/2021,11:39:00 AM,0.125611693,Died,11/4/2020,TL ,9/15/2020,10/31/2020,11/11/2020,4
T1,23,A166,N23_A166,10/30/2020,,K2,Ambient,Pathogen,Ambient_Pathogen,5,1,,Razor,,2,,,OnlyNutrients,,1,6,F1,2/4/2021,Plate1_RNA,F1,N23_A166,2/25/2021,11:39:00 AM,0.184033801,Died,11/8/2020,,9/15/2020,10/31/2020,11/11/2020,8
T1,24,A182,N24_A182,10/30/2020,,FM19,Ambient,Pathogen,Ambient_Pathogen,1,1,,Razor,,2,,,OnlyNutrients,,1,7,G1,2/4/2021,Plate1_RNA,G1,N24_A182,2/25/2021,11:39:00 AM,0.124140234,Lived,,"Healthy, sampled for histology 11/11/2020",9/15/2020,10/31/2020,11/11/2020,11
T1,25,208,N25_208,10/30/2020,,FM9,Ambient,Pathogen,Ambient_Pathogen,1,1,,Razor,,2,,,OnlyNutrients,,1,8,H1,2/4/2021,Plate1_RNA,H1,N25_208,2/25/2021,11:39:00 AM,0.12972628,Died,11/6/2020,TL,9/15/2020,10/31/2020,11/11/2020,6
T1,26,243,N26_243,10/30/2020,,FM6,Ambient,Pathogen,Ambient_Pathogen,1,1,,Razor,,2,,,OnlyNutrients,,1,9,A2,2/4/2021,Plate1_RNA,A2,N26_243,2/25/2021,11:27:00 AM,0.22260265,Died,11/8/2020,TL,9/15/2020,10/31/2020,11/11/2020,8
T1,27,283,N27_283,10/30/2020,,FM14,Ambient,Pathogen,Ambient_Pathogen,1,1,,Razor,,2,,,OnlyNutrients,,1,10,B2,2/4/2021,Plate1_RNA,B2,N27_283,2/25/2021,11:27:00 AM,0.212574827,Died,11/6/2020,TL,9/15/2020,10/31/2020,11/11/2020,6
T1,28,A027,N28_A027,10/30/2020,,Cooper-9,NH4,Pathogen,NH4_Pathogen,4,4,,Razor,,2,Y,,OnlyNutrients,,1,11,C2,2/4/2021,Plate1_RNA,C2,N28_A027,2/25/2021,11:27:00 AM,0.203844745,Died,11/4/2020,TL,9/15/2020,10/31/2020,11/11/2020,4
